Erkrankungsdatum;ID;Wochentag Erkrankungsdatum;N(RKI-H);Untere Grenze des 95%-Pr„diktionsintervalls der Anzahl Neuerkrankungen [ohne Gl„ttung];Obere Grenze des 95%-Pr„diktionsintervalls der Anzahl Neuerkrankungen [ohne Gl„ttung];NF(RKI-H);Untere Grenze des 95%-Pr„diktionsintervalls der Anzahl Neuerkrankungen;Obere Grenze des 95%-Pr„diktionsintervalls der Anzahl Neuerkrankungen;R(RKI-H);Untere Grenze des 95%-Pr„diktionsintervalls der Reproduktionszahl R;Obere Grenze des 95%-Pr„diktionsintervalls der Reproduktionszahl R;R(RKI7-H);Untere Grenze des 95%-Pr„diktionsintervalls des 7-Tage-R Wertes;Obere Grenze des 95%-Pr„diktionsintervalls des 7-Tage-R Wertes;NF(RKI7-H);Neuberechnung R(RKI7);N(BF);Neuberechnung mit Formel  NF(RKI-H);Neuberechnung mit Formel R (RKI-H);Datum RKI-Tagesbericht;Wochentag RKI-Tagesbericht;N_{BF} [k+3,k+4];R(RKI-A);R(RKI7-A);NF(NEU-H);R(NEU-H);NF(NEU-HA);R(NEU-HA);NF_{BF,AF7} [k+3,k+7];R_{BF,AF7} [k,k+7];NF(NEU-A);R(NEU-A);NF(BF)[k+11];R_{BF,AF7} [k,k+14];MAE(RKI7-H vs. RKI-H);MAE(RKI7-H vs. RKI7-H);MAE(RKI7-H vs. NEU-H);MAE(RKI7-H vs. NEU-HA);MAE(RKI7-H vs. RKI-A);MAE(RKI7-H vs. NEU-A);MAE NF(RKI-H) vs. N(RKI-H);MAE NF(RKI7-H) vs. N(RKI-H);MAE NF(NEU-H) vs. N(RKI-H);MAE NF(NEU-HA) vs. N(RKI-H)
01.09.2020;183;Dienstag;1475;1413;1539;1208;1157;1258;0,98;0,96;1,01;1,01;0,99;1,02;1204;1,01;1256;1208;0,98;05.09.2020;Samstag;1378;1,00;0,97;1243;1,05;1182;1,00;1243;1,07;1091;0,94;1352;1,03;0,03;0,00;0,04;0,01;0,01;0,07;267,00;271,29;231,71;293,43
02.09.2020;184;Mittwoch;1331;1280;1398;1300;1246;1356;1,14;1,11;1,18;1,02;1,01;1,04;1220;1,02;1311;1300;1,14;06.09.2020;Sonntag;988;1,10;0,97;1274;1,06;1224;1,02;1231;1,08;1154;1,01;1456;1,07;0,12;0,00;0,04;0,00;0,08;0,01;31,00;111,14;57,00;106,51
03.09.2020;185;Donnerstag;1253;1195;1309;1355;1299;1413;1,24;1,2;1,28;1,05;1,03;1,07;1222;1,05;1453;1355;1,24;07.09.2020;Montag;814;1,12;0,95;1317;1,08;1241;1,02;1314;1,12;1224;1,04;1499;1,11;0,19;0,00;0,03;0,03;0,07;0,01;102,00;30,57;63,57;11,92
04.09.2020;186;Freitag;1286;1226;1345;1336;1278;1398;1,19;1,15;1,22;1,06;1,04;1,08;1243;1,06;1378;1336;1,19;08.09.2020;Dienstag;1499;1,10;0,98;1350;1,10;1287;1,05;1319;1,10;1317;1,10;1560;1,14;0,13;0,00;0,04;0,01;0,04;0,04;50,00;42,71;63,71;0,99
05.09.2020;187;Samstag;1180;1133;1236;1262;1209;1322;1,04;1,01;1,08;1,08;1,06;1,1;1274;1,08;988;1263;1,04;09.09.2020;Mittwoch;1176;0,88;0,95;1370;1,10;1332;1,07;1355;1,09;1312;1,06;1656;1,22;0,04;0,00;0,02;0,01;0,20;0,02;82,00;94,00;190,00;151,69
06.09.2020;188;Sonntag;1331;1256;1415;1262;1203;1326;0,97;0,94;1;1,1;1,09;1,12;1317;1,10;814;1263;0,97;10.09.2020;Donnerstag;1892;0,90;1,04;1413;1,11;1402;1,10;1349;1,10;1434;1,16;1712;1,18;0,13;0,00;0,01;0,00;0,20;0,06;69,00;14,43;82,29;70,58
07.09.2020;189;Montag;1592;1515;1668;1347;1283;1416;0,99;0,96;1,03;1,1;1,08;1,12;1350;1,10;1499;1347;0,99;11.09.2020;Freitag;1484;1,00;1,11;1468;1,12;1459;1,11;1365;1,04;1398;1,06;1712;1,14;0,11;0,00;0,02;0,01;0,10;0,04;245,00;242,29;124,00;132,53
08.09.2020;190;Dienstag;1617;1525;1717;1430;1357;1509;1,07;1,03;1,11;1,11;1,09;1,13;1370;1,11;1176;1430;1,07;12.09.2020;Samstag;1630;1,15;1,16;1520;1,13;1472;1,09;1352;1,03;1432;1,09;1771;1,13;0,04;0,00;0,02;0,02;0,04;0,02;187,00;247,00;97,14;144,66
09.09.2020;191;Mittwoch;1634;1560;1732;1544;1464;1633;1,22;1,18;1,27;1,12;1,09;1,14;1413;1,12;1892;1544;1,22;13.09.2020;Sonntag;948;1,18;1,08;1571;1,15;1519;1,11;1456;1,07;1435;1,06;1752;1,06;0,10;0,00;0,03;0,01;0,06;0,06;90,00;220,71;62,86;114,93
10.09.2020;192;Donnerstag;1636;1531;1748;1620;1533;1716;1,28;1,24;1,34;1,13;1,1;1,15;1468;1,13;1484;1620;1,28;14.09.2020;Montag;927;1,18;1,04;1611;1,14;1582;1,12;1499;1,11;1410;1,05;1745;1,02;0,15;0,00;0,01;0,01;0,05;0,08;16,00;168,00;25,00;54,15
11.09.2020;193;Freitag;1649;1520;1786;1634;1534;1746;1,21;1,16;1,27;1,15;1,12;1,18;1520;1,15;1630;1634;1,21;15.09.2020;Dienstag;1407;1,04;1,00;1690;1,15;1655;1,13;1560;1,14;1381;1,01;1779;1,04;0,06;0,00;0,00;0,02;0,11;0,14;15,00;129,14;41,00;6,21
12.09.2020;194;Samstag;1539;1391;1670;1615;1500;1734;1,13;1,08;1,18;1,14;1,11;1,17;1571;1,14;948;1615;1,13;16.09.2020;Mittwoch;1901;1,00;1,06;1746;1,15;1747;1,15;1656;1,22;1551;1,15;;;0,01;0,00;0,01;0,01;0,14;0,01;76,00;32,14;206,71;207,85
13.09.2020;195;Sonntag;1610;1446;1774;1609;1472;1744;1,04;0,99;1,1;1,15;1,12;1,2;1611;1,15;927;1609;1,04;17.09.2020;Donnerstag;2194;1,07;1,15;1783;1,13;1789;1,14;1712;1,18;1616;1,11;;;0,11;0,00;0,02;0,01;0,08;0,04;1,00;1,00;172,57;179,17
14.09.2020;196;Montag;2145;1891;2389;1736;1562;1905;1,07;1,01;1,14;1,15;1,1;1,19;1690;1,15;1407;1736;1,07;18.09.2020;Freitag;1916;1,16;1,21;1794;1,11;1885;1,17;1712;1,14;1692;1,13;;;0,08;0,00;0,04;0,02;0,01;0,02;409,00;455,00;351,00;259,89
15.09.2020;197;Dienstag;2007;1765;2265;1825;1623;2024;1,12;1,04;1,19;1,13;1,09;1,18;1746;1,13;1901;1825;1,12;19.09.2020;Samstag;2297;1,27;1,24;1792;1,06;1939;1,15;1771;1,13;1855;1,19;;;0,01;0,00;0,07;0,02;0,14;0,06;182,00;261,29;215,00;68,48
16.09.2020;198;Mittwoch;1892;1612;2188;1914;1678;2154;1,19;1,1;1,27;1,11;1,05;1,17;1783;1,11;2194;1914;1,19;20.09.2020;Sonntag;1345;1,22;1,17;1781;1,02;1953;1,12;1752;1,06;1911;1,15;;;0,08;0,00;0,09;0,01;0,11;0,04;22,00;109,43;110,71;60,96
17.09.2020;199;Donnerstag;1716;1385;2050;1940;1663;2223;1,21;1,1;1,31;1,06;1;1,12;1794;1,06;1916;1940;1,21;21.09.2020;Montag;922;1,06;1,04;1777;1,00;1936;1,09;1745;1,02;1918;1,12;;;0,15;0,00;0,06;0,03;0,00;0,06;224,00;78,00;60,71;220,01
18.09.2020;200;Freitag;1635;1154;1993;1813;1479;2124;1,04;0,94;1,15;1,02;0,96;1,08;1792;1,02;2297;1813;1,04;22.09.2020;Dienstag;1821;0,92;0,99;1814;1,01;1874;1,04;1779;1,04;1984;1,16;;;0,02;0,00;0,01;0,02;0,10;0,14;178,00;157,00;179,29;238,68
19.09.2020;201;Samstag;1464;1027;1984;1677;1295;2054;0,92;0,81;1,04;1;0,92;1,08;1781;1,00;1345;1677;0,92;23.09.2020;Mittwoch;1769;0,79;0,95;;;1811;1,01;;;1847;1,04;;;0,08;0,00;;0,01;0,21;0,04;213,00;317,29;;346,86
20.09.2020;202;Sonntag;1578;948;2290;1598;1128;2079;0,84;0,69;0,96;1,01;0,89;1,15;1777;1,01;922;1598;0,84;24.09.2020;Donnerstag;2143;0,78;0,97;;;1772;0,99;;;1771;1,01;;;0,17;0,00;;0,02;0,23;0,00;20,00;198,71;;193,76
21.09.2020;203;Montag;2408;1266;3864;1771;1099;2533;0,91;0,71;1,16;;;;1814;;1821;1771;0,91;25.09.2020;Freitag;2153;0,91;1,01;;;1830;1,03;;;1824;1,05;;;;;;;;;;;;577,77
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
